年別,類型,觀光遊憩區,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2021,博物館,臺灣鹽博物館,臺南市,2203,4142,2368,2699,1238,0,270,2111,2702,2788,10,5,20521
2021,博物館,國立臺灣歷史博物館,臺南市,34863,38515,33220,38213,16985,0,4343,10457,9950,97556,10,5,284102
2021,博物館,奇美博物館,臺南市,54771,75432,44668,60159,20911,0,4282,29844,32340,49072,10,5,371479
