觀光遊憩區,臺灣鹽博物館,國立臺灣歷史博物館,奇美博物館
1月,2203,34863,54771
2月,4142,38515,75432
3月,2368,33220,44668
4月,2699,38213,60159
5月,1238,16985,20911
6月,0,0,0
7月,270,4343,4282
8月,2111,10457,29844
9月,2702,9950,32340
10月,2788,97556,49072
11月,10,10,10
12月,5,5,5
